Total messages: 184 (Errors: 0, Warnings: 0)

[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=14, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=75000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=7, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=4, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=6, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=7, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_window_drink, current=0, value=300, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=log_count, current=6, value=120, progress=6, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=100000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=18, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_completion_deadline, current=0, value=0.8, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=25, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=15, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=39, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=46, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=65000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=log_count, current=6, value=120, progress=6, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=1, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=21, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=34, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_remind_sent, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=43, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=23, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=29, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=17, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=32, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_reaction_cheers, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=28, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=24, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_window_drink, current=0, value=300, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=33, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=20, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_location, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_meal, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_desk, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=22, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=35, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
